RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA1588,268.0,1.0,52.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,Once/Twice,Urban,1
GHA1589,268.0,1.0,57.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA1590,272.0,1.0,23.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1591,272.0,1.0,33.0,0.0,0.0,1.0,2.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA1592,272.0,1.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA1593,262.0,2.0,18.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,Never,Rural,0
GHA1594,267.0,1.0,50.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA1595,266.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,Never,Urban,0
GHA1596,268.0,2.0,41.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA1597,267.0,1.0,21.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,Never,Urban,0
GHA1598,268.0,2.0,39.0,1.0,0.0,0.0,3.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA1599,267.0,1.0,44.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1600,266.0,1.0,24.0,1.0,2.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,Once/Twice,Urban,1
GHA1601,267.0,1.0,35.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA1602,266.0,1.0,22.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,Several times,Urban,1
GHA1603,262.0,2.0,64.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA1604,266.0,1.0,20.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,Never,Urban,0
GHA1605,268.0,2.0,18.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,Never,Rural,0
GHA1606,268.0,1.0,22.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA1607,268.0,1.0,23.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA1608,272.0,1.0,22.0,0.0,0.0,2.0,2.0,5.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA1609,262.0,2.0,36.0,1.0,0.0,0.0,2.0,6.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Once/Twice,Rural,1
GHA1610,272.0,1.0,27.0,0.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,Never,Urban,0
GHA1611,272.0,1.0,37.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,Never,Urban,0
GHA1612,262.0,2.0,24.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,Never,Rural,0
GHA1613,268.0,2.0,19.0,3.0,0.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Many times,Rural,1
GHA1614,268.0,2.0,69.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,Never,Rural,0
GHA1615,268.0,1.0,43.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
